vidId,frameNum,detectedObjId,detectedObjClass,confidence,x1,y1,x2,y2
Cyclist and vehicle tracking - 2.mp4,201,2,bicycle,0.50381273,801.79346,400.45792,830.3093,428.42514
Cyclist and vehicle tracking - 2.mp4,202,2,bicycle,0.44106165,802.04913,400.68134,831.39606,425.07324
Cyclist and vehicle tracking - 2.mp4,203,2,bicycle,0.3426252,802.28815,400.1947,833.1337,425.005
Cyclist and vehicle tracking - 2.mp4,204,2,bicycle,0.45127124,802.39435,400.3758,830.93317,426.9641
Cyclist and vehicle tracking - 2.mp4,205,2,bicycle,0.47635627,802.44696,400.79865,831.20953,428.0119
Cyclist and vehicle tracking - 2.mp4,206,2,bicycle,0.41928196,802.89844,400.05652,830.9492,427.85022
Cyclist and vehicle tracking - 2.mp4,207,2,bicycle,0.28512695,803.43726,399.76636,832.59644,425.62817
Cyclist and vehicle tracking - 2.mp4,208,2,bicycle,0.25665873,803.55554,399.64896,832.4674,425.05478
Cyclist and vehicle tracking - 2.mp4,209,2,bicycle,0.28574124,803.7958,400.0216,832.67004,426.2666
Cyclist and vehicle tracking - 2.mp4,210,2,bicycle,0.29588577,804.18335,399.08954,830.57446,425.0869
Cyclist and vehicle tracking - 2.mp4,211,2,bicycle,0.3783792,803.9806,400.6157,833.4879,425.95248
Cyclist and vehicle tracking - 2.mp4,212,2,bicycle,0.31983504,804.1687,399.25623,832.9905,425.53455
Cyclist and vehicle tracking - 2.mp4,213,2,bicycle,0.25820795,804.29846,398.0155,832.2882,425.0614
Cyclist and vehicle tracking - 2.mp4,214,2,bicycle,0.2978767,804.27637,397.80646,832.69824,423.86285
Cyclist and vehicle tracking - 2.mp4,215,2,bicycle,0.38458416,804.20056,398.66052,834.2484,423.27856
Cyclist and vehicle tracking - 2.mp4,216,2,bicycle,0.42657143,804.1156,399.1389,833.6664,424.0842
Cyclist and vehicle tracking - 2.mp4,217,2,bicycle,0.43677172,804.36206,398.88,833.3396,425.53613
Cyclist and vehicle tracking - 2.mp4,218,2,bicycle,0.41497433,804.67676,399.0239,831.8303,423.99728
Cyclist and vehicle tracking - 2.mp4,219,2,bicycle,0.3559712,805.0908,398.60324,832.4741,424.57626
Cyclist and vehicle tracking - 2.mp4,220,2,bicycle,0.3716144,805.32434,398.95407,834.556,424.92123
Cyclist and vehicle tracking - 2.mp4,221,2,bicycle,0.43248188,805.61414,398.34753,835.14465,426.6012
Cyclist and vehicle tracking - 2.mp4,222,2,bicycle,0.4507272,805.9078,398.57596,836.25336,426.60165
Cyclist and vehicle tracking - 2.mp4,223,2,bicycle,0.44197056,805.96704,398.95218,836.9336,427.5928
Cyclist and vehicle tracking - 2.mp4,224,2,bicycle,0.46328157,805.88293,399.32025,837.10095,427.1889
Cyclist and vehicle tracking - 2.mp4,225,2,bicycle,0.5081308,805.78577,399.16016,837.33386,427.41418
Cyclist and vehicle tracking - 2.mp4,226,2,bicycle,0.38578677,806.0158,399.08267,837.12933,426.4014
Cyclist and vehicle tracking - 2.mp4,227,2,bicycle,0.46312457,805.9611,399.64484,837.06537,426.61
Cyclist and vehicle tracking - 2.mp4,228,2,bicycle,0.48850787,806.0558,399.8161,835.8722,425.99554
Cyclist and vehicle tracking - 2.mp4,229,2,bicycle,0.4685959,805.91656,400.71942,833.9378,425.82233
Cyclist and vehicle tracking - 2.mp4,230,2,bicycle,0.40400445,806.2075,400.59308,834.864,424.7318
Cyclist and vehicle tracking - 2.mp4,231,2,bicycle,0.5002456,807.7973,400.0929,834.9782,426.33594
Cyclist and vehicle tracking - 2.mp4,232,2,bicycle,0.48217624,808.165,400.24994,835.6706,425.263
Cyclist and vehicle tracking - 2.mp4,233,2,bicycle,0.41795826,808.30664,400.35645,835.3828,424.8158
Cyclist and vehicle tracking - 2.mp4,234,2,bicycle,0.33795592,809.157,400.13623,836.28394,423.58466
Cyclist and vehicle tracking - 2.mp4,235,2,bicycle,0.25276932,809.8523,401.0044,837.38135,423.70813
Cyclist and vehicle tracking - 2.mp4,236,2,bicycle,0.25938606,817.1493,403.8592,843.0265,427.9997
Cyclist and vehicle tracking - 2.mp4,237,2,bicycle,0.49032617,817.0968,403.39282,847.4933,429.82343
Cyclist and vehicle tracking - 2.mp4,238,2,bicycle,0.50412095,817.4369,404.46954,847.7096,432.99457
Cyclist and vehicle tracking - 2.mp4,239,2,bicycle,0.33353224,817.9255,404.5876,846.4246,433.2818
Cyclist and vehicle tracking - 2.mp4,240,2,bicycle,0.31866816,819.24274,404.6269,846.31647,430.16602
Cyclist and vehicle tracking - 2.mp4,241,2,bicycle,0.3517698,819.81775,405.7843,848.4835,433.3639
Cyclist and vehicle tracking - 2.mp4,242,2,bicycle,0.40324184,822.3894,406.31946,850.74854,437.6328
Cyclist and vehicle tracking - 2.mp4,243,2,bicycle,0.2820467,823.7367,407.5296,851.16077,437.34943
